Phylum,Class,Order,Family,Genus
,,,SZUA-567,UBA636
,,,H5-PLA8,UBA2212
,,,UBA11346,UBA2227
,,,WJMI01,UBA6182
,,,WJKA01,JAAZDN01
,,,Chitinispirillaceae,Erysipelothrix
,,,WRFX01,DUUI01
,,,UBA5070,Aphodocola
,,,CADBQJ01,CAG-433
,,,Fibrobacteraceae,RUG13038
,,,UBA11236,CAG-1193
,,,PWNZ01,UBA5348
,,,TCS61,UBA660
,,,WRIO01,SIG205
,,,Cloacimonadaceae,UMGS2016
,,,JAFGVF01,UMGS1045
,,,TCS60,CAG-884
,,,JGIOTU-2,RGIG9169
,,,BMS3BBIN04,Faecisoma
,,,RPQS01,RGIG4266
,,,AABM5-125-24,UMGS872
,,,B3-LCP,SIG204
,,,UBA4055,UMGS1613
,,,RBG-13-44-9,RUG12438
,,,J042,UBA5578
,,,J004,UBA5026
,,,Calditrichaceae,Coprosoma
,,,CR04bin15,DUPI01
,,,QEVD01,CSBR16-113R1
,,,DRLW01,CSSED10-109M
,,,WJMF01,CAG-762
,,,UBA2214,UMGS2068
,,,Zgenome-0027,CAG-302
,,,JADDFT01,HGM10818
,,,AABM5-25-91,RUG11198
,,,JAFGDW01,RUG705
,,,BMS3Abin05,CAG-611
,,,DTFT01,UMGS1449
,,,DSAB01,Onthousia
,,,QNDG01,UMGS995
,,,JABMRT01,Faecimonas
,,,SORT01,CAG-877
,,,SCKK01,RUG14891
,,,UBA2128,UBA3789
,,,S15-B10,RUG343
,,,Marinisomataceae,MGBC119817
,,,TCS56,UBA2730
,,,UBA1611,CAG-417
,,,TCS55,Scybalousia
,,,J089,RUG13868
,,,UBA8229,RUG11788
,,,TS1B11,CAG-710
,,,TMED161,RUG591
,,,TMED6,RUG12783
,,,GCA-002719095,CAG-1000
,,,GCA-002707645,CAG-628
,,,SCGC-AAA003-L08,RUG727
,,,D37C17,RUG11867
,,,GCA-002704045,CAG-533
,,,GCA-2689995,DUUS01
,,,JACNLC01,UMGS1124
,,,46-47,CAG-582
,,,UBA8477,UBA6985
,,,B5-G15,RGIG8386
,,,UBA2242,RUG13160
,,,SB21,RGIG1752
,,,JABWAT01,Caccenecus
,,,Chlorobiaceae,RUG14121
,,,Chloroherpetonaceae,MGBC108787
,,,Natronogracilivirgulaceae,MGBC162267
,,,HLUCCA01,Ventrenecus
,,,PXAI01,SIG200
,,,Balneolaceae,Onthocola_B
,,,UBA2364,UBA6448
,,,Salinibacteraceae,Coprovivens
,,,Bin80,RUG12834
,,,Rhodothermaceae,CAG-605
,,,UBA10348,UBA3375
,,,Rubricoccaceae,JABAAY01
,,,J057,Hepatoplasma
,,,Amoebophilaceae,Bg2
,,,MED-G16,Mycoplasmopsis_B
,,,UBA9547,Mycoplasma_H
,,,Cytophagaceae,Mycoplasmopsis
,,,Hymenobacteraceae,Mycoplasmopsis_A
,,,Microscillaceae,Mesomycoplasma
,,,Thermonemataceae,Metamycoplasma
,,,172606-1,UBA710
,,,Spirosomaceae,Mycoplasma_K
,,,Catalimonadaceae,Mycoplasmoides
,,,Flammeovirgaceae,Mycoplasma_L
,,,Bernardetiaceae,Ureaplasma
,,,Cyclobacteriaceae,Malacoplasma
,,,CAILMK01,RUG11194
,,,JAAYUY01,Malacoplasma_A
,,,JACPUW01,RGIG1987
,,,CAIOSU01,Eperythrozoon_A
,,,BACL12,Eperythrozoon_B
,,,UBA8649,Spiroplasma
,,,LD1,Tullyiplasma
,,,JADJOU01,Mycoplasma
,,,JADIYW01,Mesoplasma
,,,Saprospiraceae,Williamsoniiplasma
,,,UBA2359,Spiroplasma_A
,,,UBA10324,Spiroplasma_B
,,,CAIODY01,Spiroplasma_D
,,,Chitinophagaceae,JAAZCR01
,,,UBA955,Inordinaticella
,,,UBA9320,WRKJ01
,,,UBA8524,Turicibacter
,,,CAINMV01,Exiguobacterium
,,,UKL13-3,Exiguobacterium_A
,,,UBA7662,SCSIO-07484
,,,NORP286,CFH-S0501
,,,CAIKLP01,Brevibacillus
,,,Sphingobacteriaceae,Brevibacillus_B
,,,OLB10,Aneurinibacillus
,,,2013-40CM-41-45,YIM-78166
,,,JABDAW01,Chengkuizengella
,,,Palsa-948_A,UBA4045
,,,JABDFU01,Paenibacillus_AB
,,,B-17BO,Paenibacillus_L
,,,2-12-FULL-35-15,Gorillibacterium
,,,Palsa-965,Paenibacillus_G
,,,Palsa-948,Paenibacillus_S
,,,UBA4408,Paenibacillus_AI
,,,UBA7960,Paenibacillus_E
,,,UBA12170,Paenibacillus_F
,,,F082,Paenibacillus_AE
,,,UBA4417,Paenibacillus_B
,,,Lentimicrobiaceae,Paenibacillus
,,,JAAYJT01,Paenibacillus_A
,,,CAIXZF01,Saccharibacillus
,,,FEN-979,Paenibacillus_J
,,,CG2-30-32-10,Paenibacillus_K
,,,CAIWKO01,Paenibacillus_D
,,,JACABE01,Paenibacillus_I
,,,B18-G4,Paenibacillus_O
,,,GCA-2711565,Paenibacillus_C
,,,4484-276,Paenibacillus_T
,,,JAADJA01,Paenibacillus_Z
,,,UBA1556,Thermobacillus
,,,BM520,Cohnella
,,,PWNQ01,DTU029
,,,TTA-H9,Halanaerobium
,,,WCHB1-69,SLSL01
,,,P3,T1SED10-84
,,,DTU049,M55B127
,,,JAADGE01,Orenia
,,,NBLH01,T1SED10-26
,,,S143-33,JAAYEV01
,,,UBA3824,Thermoanaerobacter
,,,UBA1715,Thermoanaerobacterium
,,,UBA6680,Caldanaerobius
,,,SZUA-534,UBA4877
,,,Salinivirgaceae,Caldicellulosiruptor
,,,UBA5342,BRH-c25
,,,Paludibacteraceae,DUSG01
,,,UBA11471,JG1575
,,,G3-4614,Youngiibacter
,,,Coprobacteraceae,Proteiniclasticum
,,,CHK158-818,Clostridium_AA
,,,Barnesiellaceae,Clostridium_AR
,,,Muribaculaceae,Clostridium_P
,,,UBA3663,Clostridium
,,,Bacteroidaceae,Clostridium_T
,,,Azobacteroidaceae,Clostridium_L
,,,Dysgonomonadaceae,Clostridium_X
,,,Porphyromonadaceae,Clostridium_Z
,,,Tannerellaceae,UBA3947
,,,UBA1402,Clostridium_AO
,,,W3P20-009,Clostridium_AK
,,,Marinilabiliaceae,Clostridium_G
,,,Marinifilaceae,UBA699
,,,Prolixibacteraceae,JN-1
,,,UBA12481,Clostridium_B
,,,Tenuifilaceae,Clostridium_AM
,,,CAJPTX01,Clostridium_F
,,,ZOR0009,Haloimpatiens
,,,Rikenellaceae,Clostridium_H
,,,UBA932,Hathewaya
,,,UBA4181,Clostridium_AD
,,,DTGW01,Clostridium_J
,,,UBA10428,F0540
,,,VadinHA17,Clostridium_I
,,,GCA-2748055,Clostridium_S
,,,SM23-62,Clostridium_AN
,,,UBA12077,Dwaynesavagella
,,,PUMT01,Caloramator_B
,,,GWF2-38-335,Caloramator
,,,GWF2-33-38,Garciella
,,,B39-G9,Acetobacterium
,,,BM523,Eubacterium_O
,,,GWF2-35-48,RUG12931
,,,GWA2-32-17,Pseudoramibacter
,,,ML635J-15,Eubacterium
,,,UBA10329,Alkalibacter
,,,CAIKAF01,UBA1433
,,,DT-38,Anaerofustis
,,,GCA-2746335,SVCP01
,,,NORP154,RUG14186
,,,Vicingaceae,JAAYHF01
,,,Schleiferiaceae,DUNJ01
,,,UBA1820,Mt11
,,,JAADED01,Keratinibaculum
,,,Flavobacteriaceae,JAAYFE01
,,,Weeksellaceae,Tepidimicrobium
,,,Blattabacteriaceae,JAAYTL01
,,,UBA7430,Soehngenia_A
,,,TMED113,UBA3583
,,,UBA7312,JAAYFT01
,,,BACL11,Tissierella
,,,GCA-002722245,Anaerosalibacter
,,,Crocinitomicaceae,Parvimonas
,,,UBA10066,Finegoldia
,,,UA16,Miniphocibacter
,,,JABDKJ01,Murdochiella
,,,Cryomorphaceae,Kallipyga
,,,PHOS-HE28,Helcococcus
,,,Salibacteraceae,Anaerococcus
,,,JAADEI01,Peptoniphilus_B
,,,SpSt-205,Peptoniphilus_A
,,,0-14-0-80-59-12,Peptoniphilus
,,,BY39,Peptoniphilus_E
,,,SZUA-254,Anaerosphaera
,,,F1-140-MAGs086,Urinicoccus
,,,UBA6906,Peptoniphilus_C
,,,UBA10030,Neofamilia
,,,UBA8401,Fenollaria
,,,T3Sed10-11,Ezakiella
,,,Kryptoniaceae,UBA1535
,,,Ch128b,Sedimentibacter
,,,Ignavibacteriaceae,UBA8670
,,,Melioribacteraceae,38-11
,,,OLB5,Proteiniborus
,,,B-1AR,Caloranaerobacter
,,,SZUA-365,Senegalia
,,,Palsa-1295,MES13
,,,NICIL-2,JAAZJW01
,,,Kapabacteriaceae,Alkaliphilus_B
,,,UBA961,Clostridium_W
,,,UBA2268,Alkaliphilus
,,,UBA4661,Alkaliphilus_C
,,,HRBIN21,Tindallia
,,,OLB7,Isachenkonia
,,,JAFGQG01,Peptoclostridium_A
,,,UBA6098,Clostridioides_A
,,,UBA3073,GCA-900066495
,,,SDB-A,Intestinibacter
,,,QNBC01,Terrisporobacter
,,,32-111,CCUG-7971
,,,E44-bin80,Romboutsia_D
,,,UBA3072,Romboutsia
,,,B12-G15,Paraclostridium
,,,LBFQ01,Clostridioides
,,,DSFT01,Peptacetobacter
,,,WGAB01,Peptostreptococcus
,,,B15-G9,Clostridium_Y
,,,UBA1063,Tepidibacter
,,,SM23-42,Proteocatella
,,,B3-TA06,Acetoanaerobium
,,,UBA2258,Peptoanaerobacter
,,,CAIPLT01,JAAYHT01
,,,Latescibacteraceae,UBA1426
,,,B68-G9,RUG708
,,,UBA8231,Alangreenwoodia
,,,GCA-2709665,UBA10908
,,,UBA2968,UBA1764
,,,JAAXHH01,RGIG2707
,,,EtOH8,RUG13409
,,,UBA10806,RUG11894
,,,4484-95,RGIG446
,,,UM-FILTER-46-8,QAKD01
,,,SM1-73,UBA3871
,,,PGXB01,UMGS973
,,,FEB-12,RUG754
,,,CAIYYT01,Fimisoma
,,,JAABVY01,RGIG7179
,,,WJJR01,CAG-238
,,,GWA2-58-10,JAAYHV01
,,,Gemmatimonadaceae,RUG099
,,,JACORV01,VUNA01
,,,GWC2-71-9,Mogibacterium
,,,Longimicrobiaceae,Baileyella
,,,RSA9,Hornefia
,,,UBA6960,RGIG5755
,,,JABDQB01,Eubacterium_T
,,,KS3-K002,Eubacterium_B
,,,Fermentibacteraceae,Emergencia
,,,WVZY01,S5-A14a
,,,Krumholzibacteriaceae,BX12
,,,JACNKJ01,Copromorpha
,,,LZORAL124-64-63,Eubacterium_M
,,,VGJL01,UBA1422
,,,CAIMUX01,UBA3738
,,,WJJG01,WRJK01
,,,SZUA-252,JAENWH01
,,,RBG-16-71-46,Aminipila
,,,VGIX01,RUG14258
,,,JABDJQ01,RGIG1899
,,,Thermotomaculaceae,Geosporobacter
,,,Holophagaceae,Inediibacterium
,,,Acanthopleuribacteraceae,ML8-F1
,,,UBA4820,DUPT01
,,,DSQY01,DUVM01
,,,FEB-10,DTU036
,,,Thermoanaerobaculaceae,Fusibacter_C
,,,Gp7-AA8,Fusibacter_A
,,,UBA5066,Acidaminobacter
,,,QQVD01,JABXKX01
,,,UBA5704,BM714
,,,J045,UBA4874
,,,Mor1,UBA5454
,,,Gp22-AA2,DTU083
,,,CAIWXX01,JAAYGY01
,,,HR10,UBA3941
,,,UBA7656,Caldicoprobacter
,,,Chloracidobacteriaceae,DTU074
,,,JADJPF01,SIG351
,,,RBC074,RGIG9107
,,,Pyrinomonadaceae,Fimadaptatus
,,,20CM-2-55-15,Alectryocaccomicrobium
,,,VXMN01,SFTH01
,,,2-12-FULL-54-10,Faecivicinus
,,,Gp1-AA112,UBA2862
,,,Acidobacteriaceae,Pullichristensenella
,,,Gp1-AA117,SFHK01
,,,DSPA01,RUG14130
,,,SbA1,Excrementavichristensenella
,,,CAINCZ01,UBA1224
,,,Koribacteraceae,Firm-10
,,,Bryobacteraceae,Onthenecus
,,,UBA6623,Ventricola
,,,2-02-FULL-67-57,Aphodomonas
,,,UBA7541,Avichristensenella
,,,UBA7540,HGM11604
,,,UBA6911,UBA2943
,,,JACQSX01,RUG11272
,,,RPQK01,UBA11524
,,,JAAYUB01,GCA-900199385
,,,Bin61,RUG740
,,,UBA823,Egerieenecus
,,,UBA8438,Limiplasma
,,,UBA2999,SFMI01
,,,2-12-FULL-66-21,UBA4246
,,,Vicinamibacteraceae,RUG756
,,,JAFNAJ01,RUG563
,,,SCN-69-37,UBA1038
,,,JACQTH01,DTU024
,,,Fen-181,Spyradocola
,,,JAGNNV01,Parachristensenella
,,,Fen-336,SZUA-584
,,,UBA890,Christensenella
,,,B3-B38,UBA5399
,,,DTGS01,SIG371
,,,Saccharicenantaceae,QANA01
,,,RBG-16-66-30,UBA7703
,,,UBA8522,Aphodomorpha
,,,JAFGBC01,CAG-1024
,,,UBA4085,WRCT01
,,,Aminicenantaceae_A,UBA3792
,,,Aminicenantaceae,RUG472
,,,UBA2199,DUPG01
,,,Chrysiogenaceae,UBA3857
,,,Deferribacteraceae,PeH17
,,,Flexistipitaceae,RGIG1693
,,,Calditerrivibrionaceae,UMGS946
,,,Denitrovibrionaceae,UBA1685
,,,Mucispirillaceae,Phil1
,,,B14-G1,SFEL01
,,,Thermosulfidibacteraceae,Pelethousia
,,,Desulfurobacteriaceae,RGIG3096
,,,Hydrogenothermaceae,QAND01
,,,QOAS01,UMGS1975
,,,Hydrogenobaculaceae,UMGS1322
,,,Aquificaceae,QALW01
,,,CSP1-6,UMGS1338
,,,CSP1-5,UBA7862
,,,2-02-FULL-66-22,UBA4647
,,,Methylomirabilaceae,UMGS1470
,,,Moduliflexaceae,UMGS687
,,,SZUA-182,Caccovivens
,,,GWA2-38-11,HGM11367
,,,J061,UBA5893
,,,Entotheonellaceae,UBA5489
,,,UBA8248,Onthoplasma
,,,Nitrospinaceae,UBA9845
,,,UBA9942,UBA7868
,,,SZUA-224,UBA6345
,,,JACRGQ01,UBA11490
,,,UBA7883,UBA7584
,,,JACRLM01,UBA7867
,,,RBG-16-64-22,RUG666
,,,UBA9217,RGIG8050
,,,SZUA-242,WRAD01
,,,UBA6902,UMGS1908
,,,BMS3Bbin08,RGIG1681
,,,DSMQ01,UMGS2069
,,,JdFR-86,UMGS2070
,,,JdFR-88,DUVY01
,,,UBA1546,WRAF01
,,,SM23-35,CAG-552
,,,UBA6898,MGBC157735
,,,Thermodesulfovibrionaceae,WRAY01
,,,Dissulfurispiraceae,WRAP01
,,,JdFR-85,MGBC113161
,,,Magnetobacteriaceae,UBA10677
,,,UBA2166,UMGS1795
,,,NS-4,RUG12826
,,,Nitrospiraceae,MGBC100320
,,,UBA8639,Protoclostridium
,,,JACQBZ01,Heteroclostridium
,,,2-01-FULL-66-17,CAG-314
,,,JACQBW01,RGIG2220
,,,SCUR01,Fimimonas
,,,JAADHI01,Limihabitans
,,,SBBA01,Coproplasma
,,,HDB-SIOI813,RGIG8762
,,,9FT-COMBO-42-15,Gallimonas
,,,CG2-30-53-67,RGIG4074
,,,B130-G9,UBA7597
,,,CSSED10-310,Scatosoma
,,,JAFGJC01,Borkfalkia
,,,JADFVX01,SIG402
,,,Pseudopelobacteraceae,HGM11412
,,,Geobacteraceae,UBA4675
,,,CAIOGM01,UBA10281
,,,JAAYDE01,HGM11416
,,,BM103,UBA4636
,,,UBA2294,RGIG3732
,,,Geothermobacteraceae,UMGS775
,,,Desulfuromonadaceae,SIG381
,,,Geopsychrobacteraceae,UBA11475
,,,SZUA-401,UBA1259
,,,Syntrophotaleaceae,Ornithoclostridium
,,,UBA2197,RACS-045
,,,SZUA-540,UBA3700
,,,Trichloromonadaceae,MGBC100798
,,,Geoalkalibacteraceae,CAG-349
,,,JAENJC01,CAG-475
,,,DRQE01,RGIG4097
,,,SCQA01,Limadaptatus
,,,GWC2-55-46,RUG14300
,,,UBA9637,CAG-1252
,,,GWC2-42-11,DTU072
,,,DSWW01,CAG-1782
,,,Desulfomonilaceae,Firm-09
,,,UBA1062,JAAZJD01
,,,Desulfarculaceae,MWEH01
,,,0-14-0-80-60-11,Stercoripulliclostridium_A
,,,Desulfobaccaceae,SIG510
,,,Desulfurivibrionaceae,SIG480
,,,BM004,JAAYAR01
,,,Desulfobulbaceae,Pelethomonas
,,,Desulfocapsaceae,CAJFPI01
,,,UBA3076,Oscillibacter
,,,QOAL01,Dysosmobacter
,,,Dissulfuribacteraceae,NSJ-62
,,,Thermodesulfatatoraceae,CAG-83
,,,Thermodesulfobacteriaceae,ER4
,,,QYQD01,Pseudoscilispira
,,,BM002,UMGS1766
,,,Syntrophobacteraceae,Onthomonas
,,,DSM-9756,Lawsonibacter
,,,B25-G16,Enterenecus
,,,HGW-15,Intestinimonas
,,,Desulfatiglandaceae,NSJ-51
,,,RBG-13-43-22,Flavonifractor
,,,JADFXK01,An92
,,,C00003060,Galloscillospira_A
,,,Desulfatibacillaceae,Pseudoflavonifractor
,,,YD0425bin50,Marseille-P3106
,,,Desulforegulaceae,MGBC124762
,,,Desulfolunaceae,Evtepia
,,,Desulfobacteraceae,HGM13006
,,,Desulfosudaceae,SIG488
,,,SURF-3,CAG-170
,,,YD0425bin51,RGIG3566
,,,SURF-7,Avoscillospira
,,,Desulfatirhabdiaceae,Faecousia
,,,Desulfococcaceae,Avoscillospira_A
,,,UBA5852,DUPK01
,,,UBA2174,RGIG7949
,,,UBA2174_A,RGIG6375
,,,Desulfosarcinaceae,UBA1246
,,,SURF-15,UBA1774
,,,JAHDSC01,JAAYOP01
,,,UBA5616,UBA2658
,,,UBA2156,Scatomorpha
,,,RPRI01,F23-B02
,,,ETH-SRB1,Limivicinus
,,,BuS5,UBA2922
,,,UBA11574,CAJOIG01
,,,SKZT01,UBA738
,,,UBA6807,CAG-103
,,,UBA2210,HGM13010
,,,UBA4778,RGIG7114
,,,JAFGHS01,SIG483
,,,UBA2185,WRAB01
,,,UBA5619,SIG495
,,,JAAYKM01,RUG626
,,,Syntrophaceae,Sporobacter
,,,Smithellaceae,WRMH01
,,,PHBD01,Alloscillospira
,,,UBA8958,JAAYOS01
,,,JAGOGO01,UBA929
,,,CAIYCZ01,WRMG01
,,,CAIRTM01,UMGS1384
,,,SM23-61,JAAZKA01
,,,UBA8473,SIG471
,,,UBA1163,Pseudobutyricicoccus
,,,RBG-16-54-18,Ventrousia
,,,B13-G15,RGIG1902
,,,JdFR-97,UBA4644
,,,1-14-0-20-49-13,RGIG3513
,,,JACPFF01,Butyricicoccus_A
,,,SPLOWO2-01-44-7,Agathobaculum
,,,JAAZCA01,Butyricicoccus
,,,2-02-FULL-44-16,QXXE01
,,,JACPAL01,RUG11797
,,,JADGCS01,RGIG1911
,,,SBBF01,QAMX01
,,,JACOXK01,SIG499
,,,2-02-FULL-40-11,RGIG8002
,,,WCHB1-27,RGIG9287
,,,Syntrophorhabdaceae,UMGS1491
,,,SZUA-79,RGIG1955
,,,UBA1144,RUG11462
,,,UBA2774,Timburyella
,,,CSP1-2,UMGS1484
,,,RKRQ01,RGIG1913
,,,BM512,UMGS1976
,,,Deferrisomataceae,UMGS1279
,,,JAADEO01,UMGS1532
,,,Anaeroferrophillaceae,UMGS172
,,,MBNT15,UBA737
,,,J040,SIG607
,,,BMS3Abin14,SIG565
,,,FEN-1099,SFWF01
,,,UBA1149,SIG587
,,,Binataceae,SIG589
,,,UBA12015,Howiella
,,,DP-6,Onthovicinus
,,,UTPRO1,Fimivicinus
,,,JACQVA1,SIG554
,,,HRBIN30,Fimenecus
,,,Bin18,DTU089
,,,UBA9968,RGIG2774
,,,JACPQY01,RGIG2893
,,,UBA6777,RUG806
,,,SLRQ01,UBA1081
,,,40CM-4-68-19,DTU053
,,,Anaeromyxobacteraceae,UBA6857
,,,Vulgatibacteraceae,RZYX01
,,,UBA5297,UBA1227
,,,Myxococcaceae,RUG420
,,,UBA4151,UBA1447
,,,JABDBI01,WRMQ01
,,,VGSZ01,UBA1425
,,,WYAZ01,CAG-177
,,,XYA12-FULL-58-9,SIG575
,,,B64-G9,CAG-488
,,,Nannocystaceae,UBA8612
,,,GCA-2747355,RUG714
,,,SLPX01,Scybalenecus
,,,HGW-17,CAG-217
,,,Fen-1088,Eubacterium_R
,,,JAEUJZ01,Solibaculum
,,,Palsa-1104,JAGZMM01
,,,SHYZ01,RUG762
,,,Haliangiaceae,SIG598
,,,J016,RGIG426
,,,JAAYKL01,SIG588
,,,JAAZOP01,UMGS1858
,,,SLQV01,RGIG1959
,,,Sandaracinaceae,Avimonas
,,,SG8-38,RGIG3009
,,,JAFGIB01,UMGS1474
,,,Ga0077539,UMGS1591
,,,JADJMO01,UMGS856
,,,Polyangiaceae,HGM12789
,,,CAITUV01,UBA5905
,,,DTJE01,Clostridium_E
,,,GCA-2863065,UMGS1264
,,,PHBI01,Caccousia
,,,UBA9042,Caproicibacterium
,,,UBA1532,Caproicibacter
,,,UBA4248,Caproiciproducens
,,,REDH01,Anaeromassilibacillus
,,,GCA-2716585,UMGS1071
,,,Bradymonadaceae,Heritagella
,,,DRUE01,RUG612
,,,Desulfohalobiaceae,Acutalibacter
,,,Desulfonatronaceae,UBA945
,,,Desulfovibrionaceae,SIG603
,,,Desulfonatronovibrionaceae,UBA1417
,,,Desulfonauticaceae,Pseudoruminococcus_A
,,,Desulfomicrobiaceae,UBA1213
,,,UBA2233,JAEEHZ01
,,,Leptospirillaceae,RUG592
,,,Thiohalorhabdaceae,Ruminococcus_E
,,,UBA3031,CAG-964
,,,SCOH01,Scatavimonas
,,,Chitinimonadaceae,UMGS1224
,,,Chitinibacteraceae,RGIG4076
,,,Chromobacteriaceae,Bittarella
,,,Aquaspirillaceae,RGIG3102
,,,UBA11063,Pygmaiobacter
,,,Neisseriaceae,UBA1762
,,,Leeiaceae,Anaerofilum
,,,Rhodocyclaceae,Fournierella
,,,Burkholderiaceae,SFJ001
,,,JAEUOS01,Faecalibacterium
,,,Casimicrobiaceae,Gemmiger
,,,SG8-39,UBA7177
,,,CAIKXV01,Ruthenibacterium
,,,JACMKV01,WRIP01
,,,JAEUMW01,RUG11783
,,,SG8-41,Faecivivens
,,,WYBJ01,Merdivicinus
,,,Nitrosomonadaceae,QANG01
,,,UBA9220,UBA866
,,,Sulfuricellaceae,Massilimaliae
,,,RBG-16-58-11,Egerieicola
,,,Sulfuriferulaceae,WRME01
,,,Gallionellaceae,Massilioclostridium
,,,UBA6910,RUG12519
,,,Ga0077523,QAMM01
,,,SG8-40,UBA946
,,,Ferrovaceae,RGIG8773
,,,Usitatibacteraceae,CAG-353
,,,UBA3065,UMGS1889
,,,Thiobacillaceae,UMGS363
,,,Methylophilaceae,RGIG4131
,,,Burkholderiaceae_A,HUN007
,,,2013Ark19i,JAAYPV01
,,,UBA729,UBA5884
,,,UBA7916,UBA1394
,,,UBA1515,Ruminococcus
,,,GCA-002691585,Ruminococcus_C
,,,LLD-282,UBA3855
,,,Porisulfidaceae,Ruminococcus_F
,,,SP5GCR1,Firm-04
,,,UBA6729,Faeciplasma
,,,Woeseiaceae,UMGS1601
,,,UBA6522,JAAZZIT01
,,,UBA11654,UBA7477
,,,RKRP01,Ruminococcus_D
,,,CACJXQ01,CAG-115
,,,SAR86,Ruminiclostridium_E
,,,AG-339-G14,SIG578
,,,TMED112,Pararuminococcus
,,,D2472,UBA3818
,,,Evansiaceae,Hydrogenoanaerobacterium
,,,Enterobacteriaceae_A,SIG526
,,,PIVX01,RGIG8367
,,,GCA-002716945,UMGS1668
,,,GCA-002705445,Negativibacillus
,,,JABDMI01,Anaerotruncus
,,,Wohlfahrtiimonadaceae,Avimicrobium
,,,Cardiobacteriaceae,WRAV01
,,,Thiomicrospiraceae,Angelakisella
,,,Thioglobaceae,Heteroruminococcus
,,,Piscirickettsiaceae,Fimivivens
,,,JAHRWD01,Pseudoruminococcus_B
,,,Pseudohongiellaceae,UBA1405
,,,HTCC2089,Ethanoligenens
,,,Cellvibrionaceae,Ruminiclostridium_D
,,,Porticoccaceae,RGIG577
,,,GM7GCV1,Galloscillospira_B
,,,UBA7239,WRJC01
,,,DSM-25080,RGIG5579
,,,Spongiibacteraceae,SIG685
,,,DSM-21967,RUG14179
,,,Halieaceae,SIG627
,,,DT-91,RGIG6353
,,,UBA7434,SIG622
,,,UBA5518,UMGS1387
,,,Oleiphilaceae,UMGS882
,,,Marinomonadaceae,UMGS1052
,,,Nitrincolaceae,UMGS1307
,,,Natronospirillaceae,SFLA01
,,,DSM-6294,UBA1206
,,,Pseudomonadaceae,Woodwardibium
,,,Zooshikellaceae,UBA1049
,,,Endozoicomonadaceae,UBA1752
,,,Halomonadaceae,SIG636
,,,Litoricolaceae,CAG-724
,,,Moraxellaceae,UMGS731
,,,Alcanivoracaceae,QALR01
,,,UBA3067,RGIG6816
,,,DC-out160,CAG-841
,,,Ketobacteraceae,RGIG7213
,,,Kangiellaceae,UBA1248
,,,GCA-002770795,RGIG3925
,,,DSM-103792,RGIG1995
,,,Psittacicellaceae,SIG673
,,,Succinivibrionaceae,RGIG7300
,,,Gallaecimonadaceae,SIG655
,,,Neiellaceae,UBA11512
,,,Psychrobiaceae,RGIG1993
,,,Shewanellaceae,SIG672
,,,Alteromonadaceae,JAAZGC01
,,,Celerinatantimonadaceae,CAG-272
,,,Moritellaceae,DTU078
,,,Psychromonadaceae,UMGS911
,,,Vibrionaceae,UBA4717
,,,Pasteurellaceae,Flemingibacterium
,,,Enterobacteriaceae,RGIG2161
,,,Aeromonadaceae,DTU064
,,,CACEW01,RGIG2000
,,,Francisellaceae,SIG701
,,,Berkiellaceae,RUG14199
,,,UBA6186,Avispirillum
,,,JABDGN01,UMGS1696
,,,JABCZS01,RUG11130
,,,UBA12402,UMGS1312
,,,DSM-16500,CAG-390
,,,Diplorickettsiaceae,HGM12650
,,,CAISUE01,SIG710
,,,Coxiellaceae,HGM12713
,,,UBA6002,RGIG8775
,,,UBA9339,RGIG4608
,,,Legionellaceae,CAG-448
,,,UBA1113,RUG14240
,,,QZLD01,UBA1770
,,,GCF-002020875,SIG644
,,,GRL18,UMGS1865
,,,Cycloclasticaceae,Firm-07
,,,UBA2780,UMGS1002
,,,UBA2778,RGIG3994
,,,Methylomonadaceae,SIG693
,,,Methylococcaceae,UBA1740
,,,Methylothermaceae,UMGS902
,,,JABHGC01,RUG12395
,,,SZUA-21,Firm-08
,,,JAADHQ01,QAKW01
,,,HTCC5015,RGIG995
,,,Granulosicoccaceae,HGM12619
,,,GCA-001735895,UBA644
,,,SZUA-229,UMGS1783
,,,SpSt-1174,RGIG5299
,,,Acidihalobacteraceae,SIG452
,,,Thioalkalivibrionaceae,SIG450
,,,Ectothiorhodospiraceae,Monoglobus
,,,Thiotrichaceae,UMGS1820
,,,UWMA-0217,UMGS1326
,,,JACCYU01,SIG440
,,,UBA4575,SIG454
,,,Aquisalimonadaceae,RGIG8709
,,,AK92,RGIG1864
,,,Nitrococcaceae,RGIG6154
,,,Halorhodospiraceae,UBA9506
,,,Halofilaceae,RGIG1666
,,,Halothiobacillaceae,UMGS755
,,,JAABTG01,Aphodoplasma
,,,HK1,Avimonoglobus
,,,JABDQX01,RGIG1988
,,,Beggiatoaceae,RQCD01
,,,JACCXJ01,HGM11525
,,,UBA7966,UBA1738
,,,Ga0077536,12844
,,,UBA4486,CAG-41
,,,Methylophagaceae,UBA4716
,,,Nitrosococcaceae,Ornithomonoglobus
,,,JAADGQ01,NSJ-50
,,,Ga007554,SIG455
,,,SURF-13,RGIG4708
,,,CAIRSR01,RGIG1828
,,,GCA-2400775,RGIG1927
,,,JADJWH01,UMGS1883
,,,SZUA-140,HGM11501
,,,SZUA-76,SIG447
,,,Tenderiaceae,UMGS1540
,,,SG8-11,RUG12999
,,,SZUA-152,RGIG4103
,,,S140-43,CAG-793
,,,DRMK01,UMGS1864
,,,JABURT01,UMGS1754
